step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.246119976043701,4.2307047843933105,0.001,-100.0
1,1,4.223080635070801,4.260624408721924,0.001,-100.0,0.015934096183627844,0.06611933715612395,0.08872948586940765,0.24302025511860847
2,2,4.234525203704834,4.198741912841797,0.001,-100.0,0.015912500210106373,0.06695241932902718,0.08837665803730488,0.2379879504442215
3,3,4.2327775955200195,4.162398338317871,0.001,-100.0,0.01592440903186798,0.06561292167316424,0.08855320065049455,0.2375652715563774
4,4,4.179412841796875,4.213201999664307,0.001,-100.0,0.01590851042419672,0.06667399418802233,0.08856199315050617,0.23789174109697342
5,5,4.175378322601318,4.200028896331787,0.001,-100.0,0.01591831585392356,0.06710361775913043,0.08833437383873388,0.23826995864510536
6,6,4.161094665527344,4.182295799255371,0.001,3.2753965388043635,0.015923187602311373,0.06695853878045455,0.08832464361330494,0.23441816866397858
7,7,4.218794345855713,4.191225528717041,0.001,3.273801450479287,0.0159019255079329,0.06653792633005651,0.08820930810179561,0.24338961392641068
8,8,4.129741191864014,4.16179895401001,0.001,3.2718766125734238,0.015919017605483532,0.06690113068179926,0.0883873471757397,0.23698267340660095
9,9,4.140133380889893,4.157434463500977,0.001,3.270427635514313,0.01591534074395895,0.0665559276676504,0.08846831449773163,0.23866209387779236
10,10,4.098461627960205,4.150084495544434,0.001,3.269650045002173,0.01589604327455163,0.06655382998724235,0.08836311451159418,0.2414572685956955
