step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.304721832275391,4.30893087387085,2e-08,-100.0
1,1,4.343487739562988,4.324246883392334,2e-08,-100.0,0.015709415543824434,0.0638027530076215,0.08812506316462532,0.2549804821610451
2,2,4.3207926750183105,4.332500457763672,2e-08,-100.0,0.015696337446570396,0.06404222545097582,0.08807989826891571,0.25684725120663643
3,3,4.297547817230225,4.323229789733887,2e-08,-100.0,0.01571255549788475,0.06461957466672175,0.0879038066486828,0.25295237824320793
4,4,4.303567886352539,4.332442760467529,2e-08,-100.0,0.0157112879678607,0.06512732378905639,0.08808987669181079,0.2468074932694435
5,5,4.299305438995361,4.298985958099365,2e-08,-100.0,0.015727559570223093,0.0646039002094767,0.08803877606987953,0.2505883239209652
6,6,4.320525169372559,4.316889762878418,2e-08,0.8677097296518133,0.015700597781687975,0.0649993520200951,0.08789659332251176,0.24999118223786354
7,7,4.297904968261719,4.296911716461182,2e-08,1.0692080147168423,0.015713284257799387,0.0638079936907161,0.08797160594258457,0.2566825971007347
8,8,4.2841877937316895,4.306184768676758,2e-08,1.04265662070517,0.01572208246216178,0.06532348440669011,0.08805183682125062,0.2499576210975647
9,9,4.285869121551514,4.321753978729248,2e-08,1.2243538134841665,0.015728460159152746,0.06521832756698132,0.0879731101449579,0.24854888021945953
10,10,4.295640468597412,4.317446708679199,2e-08,1.38957523105743,0.015702644363045692,0.06487077352358028,0.08799535752041265,0.25105325132608414
