step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.2519330978393555,4.239475727081299,0.001,-100.0
1,1,4.240520477294922,4.258142948150635,0.001,-100.0,0.015963693615049124,0.04478537227259949,0.08717382606118917,0.2868562638759613
2,2,3.8291642665863037,3.8758482933044434,0.001,-100.0,0.015968918800354004,0.045034349779598415,0.08717264467850327,0.2901868596673012
3,3,3.6222822666168213,3.64675235748291,0.001,-100.0,0.015986293088644743,0.04691120167262852,0.09005967946723104,0.3125154674053192
4,4,3.540421962738037,3.4456303119659424,0.001,-100.0,0.01597223710268736,0.0555970081477426,0.0970963891595602,0.3869832456111908
5,5,3.3931570053100586,3.3969316482543945,0.001,-100.0,0.01597543666139245,0.0644417111761868,0.10460247565060854,0.4913206025958061
6,6,3.405233860015869,3.3473756313323975,0.001,2.4586248712203846,0.016013264190405607,0.06888284732121974,0.11504076234996319,0.5545940548181534
7,7,3.23681902885437,3.2331361770629883,0.001,2.45451053175434,0.01608650339767337,0.06934086745604873,0.12230920000001788,0.6007227301597595
8,8,3.2736401557922363,3.2930872440338135,0.001,2.4551928942929964,0.01615534257143736,0.06267070572357625,0.11754255788400769,0.6563743501901627
9,9,3.374199628829956,3.484550952911377,0.001,2.4522025025702394,0.016239609103649855,0.056150408927351236,0.11880216747522354,0.6453880220651627
10,10,3.1663808822631836,3.150681495666504,0.001,2.450108511836769,0.016336165368556976,0.04346289485692978,0.11194905964657664,0.45706596225500107
