step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.213422775268555,4.225775718688965,0.0001,-100.0
1,1,4.221152305603027,4.220094203948975,0.0001,-100.0,0.01599648641422391,0.03218696860130876,0.08832008764147758,0.25884799659252167
2,2,4.172673225402832,4.205618858337402,0.0001,-100.0,0.016001292038708925,0.031998991151340306,0.08826164621859789,0.2592350021004677
3,3,4.129668712615967,4.1315226554870605,0.0001,-100.0,0.015992010943591595,0.03167890815529972,0.08837826363742352,0.25892776250839233
4,4,4.042111873626709,4.056065082550049,0.0001,-100.0,0.015994034707546234,0.03183400712441653,0.08809751737862825,0.2606418877840042
5,5,3.9306769371032715,3.97554349899292,0.0001,-100.0,0.016015749890357256,0.032016295939683914,0.08829847536981106,0.26845601201057434
6,6,3.8175909519195557,3.823307991027832,0.0001,1.8075337920307706,0.01601718831807375,0.0325307046296075,0.08897482696920633,0.2838396430015564
7,7,3.714617967605591,3.7678258419036865,0.0001,1.8009454197921362,0.015985414385795593,0.03405090840533376,0.09056984353810549,0.31112372130155563
8,8,3.6428937911987305,3.6759068965911865,0.0001,1.804325063450375,0.016007596161216497,0.03624722303356975,0.0932105639949441,0.34006525576114655
9,9,3.6022250652313232,3.6241064071655273,0.0001,1.8087835168343034,0.016020655632019043,0.0397130266064778,0.0965272719040513,0.36867908388376236
10,10,3.5216598510742188,3.6175734996795654,0.0001,1.808813822726016,0.016027189325541258,0.04394166683778167,0.10139090102165937,0.39838262647390366
