step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.304721832275391,4.30893087387085,1e-05,-100.0
1,1,4.343796730041504,4.324551582336426,1e-05,-100.0,0.015709415543824434,0.0638027530076215,0.08812506316462532,0.2549804821610451
2,2,4.321419715881348,4.33310604095459,1e-05,-100.0,0.015696320217102766,0.06404190456669312,0.08807959721889347,0.2568877227604389
3,3,4.298384666442871,4.324190139770508,1e-05,-100.0,0.015712521970272064,0.06461842809221707,0.08790355321252719,0.25302454829216003
4,4,4.304717540740967,4.3336896896362305,1e-05,-100.0,0.015711236279457808,0.06512486281280871,0.08808913518441841,0.24692924693226814
5,5,4.30072021484375,4.300434112548828,1e-05,-100.0,0.015727491583675146,0.06460070765024284,0.08803771832026541,0.2507266514003277
6,6,4.322329044342041,4.318613052368164,1e-05,3.2458273001359705,0.015700513496994972,0.06499833567067981,0.0878955873195082,0.25017210096120834
7,7,4.299835205078125,4.299004077911377,1e-05,3.2451676268060434,0.01571318320930004,0.06380452991288621,0.08797040878562257,0.2568915858864784
8,8,4.286304950714111,4.3083882331848145,1e-05,3.2448194716066325,0.015721963718533516,0.06532077968586236,0.08805058489087969,0.25024389103055
9,9,4.288629055023193,4.324664115905762,1e-05,3.244590838785106,0.01572832465171814,0.06521287365467288,0.08797102607786655,0.2488485462963581
10,10,4.298836708068848,4.320261478424072,1e-05,3.245894489735235,0.015702491626143456,0.06486552569549531,0.08799282799009234,0.2513938173651695
