step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.2519330978393555,4.239475727081299,0.02,-100.0
1,1,4.240520477294922,4.258142948150635,0.02,-100.0,0.015963693615049124,0.04478537227259949,0.08717382606118917,0.2868562638759613
2,2,3.698546886444092,3.7439234256744385,0.02,-100.0,0.015968918800354004,0.045034349779598415,0.08717264467850327,0.2901868596673012
3,3,3.4691178798675537,3.550475597381592,0.02,-100.0,0.01598844025284052,0.08519841847009957,0.1205231542699039,0.37416014820337296
4,4,3.6844472885131836,3.4727697372436523,0.02,-100.0,0.016289894003421068,0.3468788522295654,0.6879808232188225,0.840488851070404
5,5,3.424687147140503,3.4178085327148438,0.02,-100.0,0.01683415798470378,0.6430289298295975,1.3376021087169647,1.4125181436538696
6,6,3.558203935623169,3.49808931350708,0.02,0.7069902762962058,0.017389753367751837,1.0959485583007336,2.4106399789452553,1.7649828493595123
7,7,3.326447010040283,3.362490177154541,0.02,0.8668638974870447,0.018022660166025162,1.6784937009215355,3.8622459918260574,1.9430719316005707
8,8,3.5422277450561523,3.5436716079711914,0.02,0.8500428658885373,0.018708066549152136,2.364914834499359,5.534065768122673,2.088828146457672
9,9,3.4271910190582275,3.428189516067505,0.02,0.9854581669971866,0.01948941219598055,3.0357887595891953,7.168209299445152,2.1936628818511963
10,10,3.452620267868042,3.4904606342315674,0.02,1.1048899250842823,0.020477632526308298,3.6842488646507263,8.773136496543884,2.3061076402664185
