step,iter,train/loss,val/loss,lr,mfu,token_embedding_act_abs_mean,attn_act_abs_mean,mlp_act_abs_mean,lm_head_act_abs_mean
0,0,4.246119976043701,4.2307047843933105,1e-05,-100.0
1,1,4.23418664932251,4.270867347717285,1e-05,-100.0,0.015934096183627844,0.06611933715612395,0.08872948586940765,0.24302025511860847
2,2,4.255958557128906,4.220084190368652,1e-05,-100.0,0.01591406110674143,0.066962681034056,0.08838713471777737,0.2385326586663723
3,3,4.265045642852783,4.196328163146973,1e-05,-100.0,0.015927530825138092,0.06565087432682049,0.08857150952098891,0.23875189572572708
4,4,4.221365451812744,4.25083589553833,1e-05,-100.0,0.01591318240389228,0.066682589786069,0.08858074410818517,0.2388291023671627
5,5,4.233248233795166,4.2503581047058105,1e-05,-100.0,0.01592449424788356,0.06716817693813937,0.08837418275652453,0.2387622557580471
6,6,4.221316814422607,4.238674640655518,1e-05,3.258524788381451,0.015930806752294302,0.06703880424902309,0.08836371102370322,0.235649935901165
7,7,4.2941575050354,4.265185832977295,1e-05,3.257156144597331,0.015910970978438854,0.0666852696595015,0.08826385671272874,0.24502279609441757
8,8,4.213254928588867,4.237356185913086,1e-05,3.2539395864897043,0.01592953409999609,0.06698536555632018,0.08843497623456642,0.23878173157572746
9,9,4.240543842315674,4.239810466766357,1e-05,3.2521737605638514,0.0159272663295269,0.06666252126160543,0.08854525146307424,0.23907380178570747
10,10,4.209461688995361,4.254121780395508,1e-05,3.2489290920125793,0.015909350011497736,0.06660992464458104,0.08837538462830707,0.24562885612249374
